X,ROI_Pair,Network_Pair,Network_Pair_Index,Reproducibility_rfMRI
36766,Pair_181_272,Network_1_7,7,0.237750431
36767,Pair_182_272,Network_2_7,18,0.235733175
36768,Pair_183_272,Network_2_7,18,0.233040786
36769,Pair_184_272,Network_2_7,18,0.261897715
36770,Pair_185_272,Network_2_7,18,0.274814041
36771,Pair_186_272,Network_2_7,18,0.250825505
36772,Pair_187_272,Network_2_7,18,0.271213616
36773,Pair_188_272,Network_3_7,28,0.24489878
36774,Pair_189_272,Network_3_7,28,0.24007416
36775,Pair_190_272,Network_4_7,37,0.343375833
36776,Pair_191_272,Network_4_7,37,0.377247096
36777,Pair_192_272,Network_6_7,52,0.344733285
36778,Pair_193_272,Network_2_7,18,0.224084296
36779,Pair_194_272,Network_7_7,58,0.290260801
36780,Pair_195_272,Network_7_7,58,0.368406076
36781,Pair_196_272,Network_2_7,18,0.258994285
36782,Pair_197_272,Network_2_7,18,0.301449686
36783,Pair_198_272,Network_2_7,18,0.328294842
36784,Pair_199_272,Network_2_7,18,0.208700606
36785,Pair_200_272,Network_2_7,18,0.220731809
36786,Pair_201_272,Network_2_7,18,0.246098772
36787,Pair_202_272,Network_2_7,18,0.314556587
36788,Pair_203_272,Network_2_7,18,0.272427864
36789,Pair_204_272,Network_8_7,59,0.294677132
36790,Pair_205_272,Network_4_7,37,0.373291552
36791,Pair_206_272,Network_6_7,52,0.333744989
36792,Pair_207_272,Network_10_7,61,0.284860685
36793,Pair_208_272,Network_10_7,61,0.344319001
36794,Pair_209_272,Network_7_7,58,0.364918556
36795,Pair_210_272,Network_9_7,60,0.311063287
36796,Pair_211_272,Network_9_7,60,0.270222237
36797,Pair_212_272,Network_9_7,60,0.34609197
36798,Pair_213_272,Network_9_7,60,0.282779601
36799,Pair_214_272,Network_9_7,60,0.242186819
36800,Pair_215_272,Network_9_7,60,0.284932389
36801,Pair_216_272,Network_3_7,28,0.353579461
36802,Pair_217_272,Network_4_7,37,0.309498587
36803,Pair_218_272,Network_4_7,37,0.340761989
36804,Pair_219_272,Network_3_7,28,0.309481572
36805,Pair_220_272,Network_3_7,28,0.218835549
36806,Pair_221_272,Network_3_7,28,0.146649342
36807,Pair_222_272,Network_3_7,28,0.346203199
36808,Pair_223_272,Network_4_7,37,0.281172841
36809,Pair_224_272,Network_4_7,37,0.326118766
36810,Pair_225_272,Network_4_7,37,0.362592888
36811,Pair_226_272,Network_5_7,45,0.385396195
36812,Pair_227_272,Network_3_7,28,0.421479905
36813,Pair_228_272,Network_2_7,18,0.292752937
36814,Pair_229_272,Network_2_7,18,0.358360636
36815,Pair_230_272,Network_5_7,45,0.328116306
36816,Pair_231_272,Network_3_7,28,0.312708013
36817,Pair_232_272,Network_3_7,28,0.291372485
36818,Pair_233_272,Network_3_7,28,0.284948175
36819,Pair_234_272,Network_3_7,28,0.30777563
36820,Pair_235_272,Network_3_7,28,0.283871876
36821,Pair_236_272,Network_3_7,28,0.315515652
36822,Pair_237_272,Network_4_7,37,0.301052474
36823,Pair_238_272,Network_7_7,58,0.280593633
36824,Pair_239_272,Network_4_7,37,0.3568156
36825,Pair_240_272,Network_4_7,37,0.249498617
36826,Pair_241_272,Network_9_7,60,0.274850679
36827,Pair_242_272,Network_7_7,58,0.31136328
36828,Pair_243_272,Network_7_7,58,0.371559007
36829,Pair_244_272,Network_9_7,60,0.253010585
36830,Pair_245_272,Network_9_7,60,0.269064521
36831,Pair_246_272,Network_9_7,60,0.265402343
36832,Pair_247_272,Network_9_7,60,0.363184022
36833,Pair_248_272,Network_9_7,60,0.328328639
36834,Pair_249_272,Network_9_7,60,0.322169528
36835,Pair_250_272,Network_9_7,60,0.28879984
36836,Pair_251_272,Network_9_7,60,0.344404046
36837,Pair_252_272,Network_9_7,60,0.335338052
36838,Pair_253_272,Network_7_7,58,0.380887286
36839,Pair_254_272,Network_7_7,58,0.404476338
36840,Pair_255_272,Network_6_7,52,0.345484603
36841,Pair_256_272,Network_9_7,60,0.332453841
36842,Pair_257_272,Network_7_7,58,0.39637116
36843,Pair_258_272,Network_4_7,37,0.466089275
36844,Pair_259_272,Network_6_7,52,0.275605754
36845,Pair_260_272,Network_7_7,58,0.311917379
36846,Pair_261_272,Network_7_7,58,0.396031598
36847,Pair_262_272,Network_4_7,37,0.413343165
36848,Pair_263_272,Network_7_7,58,0.476804859
36849,Pair_264_272,Network_4_7,37,0.448993766
36850,Pair_265_272,Network_7_7,58,0.498286263
36851,Pair_266_272,Network_4_7,37,0.377194251
36852,Pair_267_272,Network_9_7,60,0.334506726
36853,Pair_268_272,Network_9_7,60,0.447211395
36854,Pair_269_272,Network_7_7,58,0.396440837
36855,Pair_270_272,Network_9_7,60,0.388372723
36856,Pair_271_272,Network_7_7,58,0.332047531
36857,Pair_1_273,Network_1_7,7,0.273611625
36858,Pair_2_273,Network_2_7,18,0.371437463
36859,Pair_3_273,Network_2_7,18,0.428269162
36860,Pair_4_273,Network_2_7,18,0.303051167
36861,Pair_5_273,Network_2_7,18,0.313793573
36862,Pair_6_273,Network_2_7,18,0.285930283
36863,Pair_7_273,Network_2_7,18,0.407947628
36864,Pair_8_273,Network_3_7,28,0.351773046
36865,Pair_9_273,Network_3_7,28,0.335874973
36866,Pair_10_273,Network_4_7,37,0.392899259
36867,Pair_11_273,Network_5_7,45,0.370055809
36868,Pair_12_273,Network_6_7,52,0.43645376
36869,Pair_13_273,Network_2_7,18,0.322043901
36870,Pair_14_273,Network_7_7,58,0.384256977
